Module,"site1 Status","site1 Version","site2 Status","site2 Version","site3 Status","site3 Version"
actions_permissions,Empty,Empty,"Not installed",6.x-1.14,Empty,Empty
admin,Empty,Empty,"Not installed",6.x-2.0-beta3,Empty,Empty
admin_menu,Enabled,6.x-1.8,Enabled,6.x-1.8,Enabled,6.x-1.8
adminrole,Empty,Empty,"Not installed",6.x-1.3,Empty,Empty
advagg,Empty,Empty,Disabled,6.x-1.9,Empty,Empty
advagg_bundler,Empty,Empty,Disabled,6.x-1.9,Empty,Empty
advagg_css_compress,Empty,Empty,Disabled,6.x-1.9,Empty,Empty
advagg_js_cdn,Empty,Empty,Disabled,6.x-1.9,Empty,Empty
advagg_js_compress,Empty,Empty,Disabled,6.x-1.9,Empty,Empty
advpoll,Enabled,6.x-1.x-dev,Enabled,6.x-1.x-dev,Enabled,6.x-1.x-dev
advpoll_convert,"Not installed",6.x-1.x-dev,Enabled,6.x-1.x-dev,Enabled,6.x-1.x-dev
aggregator,"Not installed",6.33,"Not installed",6.33,"Not installed",6.33
alternate_content_copy,Enabled,6.x-2.6-beta2,Empty,Empty,Enabled,6.x-2.6-beta2
block,Enabled,6.33,Enabled,6.33,Enabled,6.33
blog,"Not installed",6.33,"Not installed",6.33,"Not installed",6.33
blogapi,"Not installed",6.33,"Not installed",6.33,"Not installed",6.33
book,Enabled,6.33,Enabled,6.33,Enabled,6.33
bulk_export,Enabled,6.x-1.11,"Not installed",6.x-1.10,Enabled,6.x-1.11
cck_sync,Enabled,6.x-1.0,Empty,Empty,Enabled,6.x-1.0
cdn,Empty,Empty,Disabled,6.x-2.6,Empty,Empty
chameleon,Empty,Empty,Disabled,6.33,Empty,Empty
ckeditor,Enabled,6.x-1.14,Enabled,6.x-1.14,Enabled,6.x-1.14
coder,Empty,Empty,"Not installed",6.x-2.0-beta1,Empty,Empty
color,Disabled,6.33,Enabled,6.33,Disabled,6.33
colorpicker,Empty,Empty,Enabled,6.x-2.1,Empty,Empty
colorpicker_cck,Empty,Empty,Enabled,6.x-2.1,Empty,Empty
colorpicker_example,Empty,Empty,"Not installed",6.x-2.1,Empty,Empty
comment,Enabled,6.33,Enabled,6.33,Enabled,6.33
comment_service,"Not installed",6.x-2.4,Empty,Empty,Empty,Empty
computed_field,Empty,Empty,Enabled,6.x-1.0,Empty,Empty
contact,"Not installed",6.33,"Not installed",6.33,"Not installed",6.33
content,Enabled,6.x-2.9,Enabled,6.x-2.9,Enabled,6.x-2.9
content_copy,Enabled,6.x-2.9,Enabled,6.x-2.9,Enabled,6.x-2.9
content_permissions,Enabled,6.x-2.9,Enabled,6.x-2.9,Enabled,6.x-2.9
content_profile,Empty,Empty,Disabled,6.x-1.0-beta2,Empty,Empty
content_taxonomy,Enabled,6.x-1.0-rc2,Empty,Empty,Enabled,6.x-1.0-rc2
content_taxonomy_autocomplete,Enabled,6.x-1.0-rc2,Empty,Empty,Enabled,6.x-1.0-rc2
content_taxonomy_options,Enabled,6.x-1.0-rc2,Empty,Empty,Enabled,6.x-1.0-rc2
content_taxonomy_tree,Enabled,6.x-1.0-rc2,Empty,Empty,Enabled,6.x-1.0-rc2
context,Empty,Empty,Enabled,6.x-3.1,Empty,Empty
context_layouts,Empty,Empty,"Not installed",6.x-3.1,Empty,Empty
context_metadata,Empty,Empty,Enabled,,Empty,Empty
context_ui,Empty,Empty,Enabled,6.x-3.1,Empty,Empty
ctools,Enabled,6.x-1.11,Enabled,6.x-1.10,Enabled,6.x-1.11
ctools_access_ruleset,"Not installed",6.x-1.11,"Not installed",6.x-1.10,"Not installed",6.x-1.11
ctools_ajax_sample,"Not installed",6.x-1.11,"Not installed",6.x-1.10,"Not installed",6.x-1.11
