 Package                               Namen                                                                                       Type    Status         Version        
 Administration                        Administration menu (admin_menu)                                                            Module  Enabled        6.x-1.8              
 Caching                               Memcache Admin (memcache_admin)                                                             Module  Not installed  6.x-1.8             
 CCK                                   Alternate Content Copy (alternate_content_copy)                                             Module  Enabled        6.x-2.6-beta2  
 CCK                                   CCK sync (cck_sync)                                                                         Module  Enabled        6.x-1.0        
 CCK                                   Content (content)                                                                           Module  Enabled        6.x-2.9        
 CCK                                   Content Copy (content_copy)                                                                 Module  Enabled        6.x-2.9        
 CCK                                   Content Permissions (content_permissions)                                                   Module  Enabled        6.x-2.9        
 CCK                                   Content Taxonomy (content_taxonomy)                                                         Module  Enabled        6.x-1.0-rc2    
 CCK                                   Content Taxonomy Autocomplete (content_taxonomy_autocomplete)                               Module  Enabled        6.x-1.0-rc2    
 CCK                                   Content Taxonomy Options (content_taxonomy_options)                                         Module  Enabled        6.x-1.0-rc2    
 CCK                                   Content Taxonomy Tree (content_taxonomy_tree)                                               Module  Enabled        6.x-1.0-rc2    
 CCK                                   Fieldgroup (fieldgroup)                                                                     Module  Enabled        6.x-2.9        
 CCK                                   FileField (filefield)                                                                       Module  Enabled        6.x-3.12       
 CCK                                   FileField Meta (filefield_meta)                                                             Module  Not installed  6.x-3.12       
 CCK                                   Image crop (imagefield_crop)                                                                Module  Enabled        6.x-1.0        
 CCK                                   ImageField (imagefield)                                                                     Module  Enabled        6.x-3.11       
 CCK                                   ImageField Extended Fields (imagefield_extended)                                            Module  Enabled        6.x-3.2        
 CCK                                   Node Reference (nodereference)                                                              Module  Enabled        6.x-2.9        
 CCK                                   Number (number)                                                                             Module  Enabled        6.x-2.9        
 CCK                                   Option Widgets (optionwidgets)                                                              Module  Enabled        6.x-2.9        
 CCK                                   Text (text)                                                                                 Module  Enabled        6.x-2.9        
 CCK                                   User Reference (userreference)                                                              Module  Disabled       6.x-2.9        
 Chaos tool suite                      Bulk Export (bulk_export)                                                                   Module  Enabled        6.x-1.11       
 Chaos tool suite                      Chaos tools (ctools)                                                                        Module  Enabled        6.x-1.11       
 Chaos tool suite                      Chaos Tools (CTools) AJAX Example (ctools_ajax_sample)                                      Module  Not installed  6.x-1.11       
 Chaos tool suite                      Chaos Tools (CTools) Plugin Example (ctools_plugin_example)                                 Module  Not installed  6.x-1.11       
 Chaos tool suite                      Custom content panes (ctools_custom_content)                                                Module  Not installed  6.x-1.11       
 Chaos tool suite                      Custom rulesets (ctools_access_ruleset)                                                     Module  Not installed  6.x-1.11       
 Chaos tool suite                      Page manager (page_manager)                                                                 Module  Enabled        6.x-1.11       
 Chaos tool suite                      Stylizer (stylizer)                                                                         Module  Enabled        6.x-1.11       
 Chaos tool suite                      Views content panes (views_content)                                                         Module  Enabled        6.x-1.11       
 Core - optional                       Aggregator (aggregator)                                                                     Module  Not installed  6.33           
 Core - optional                       Blog (blog)                                                                                 Module  Not installed  6.33           
 Core - optional                       Blog API (blogapi)                                                                          Module  Not installed  6.33           
 Core - optional                       Book (book)                                                                                 Module  Enabled        6.33           
 Core - optional                       Color (color)                                                                               Module  Disabled       6.33           
 Core - optional                       Comment (comment)                                                                           Module  Enabled        6.33           
 Core - optional                       Contact (contact)                                                                           Module  Not installed  6.33           
 Core - optional                       Content translation (translation)                                                           Module  Not installed  6.33           
 Core - optional                       Database logging (dblog)                                                                    Module  Disabled       6.33           
 Core - optional                       Forum (forum)                                                                               Module  Not installed  6.33           
 Core - optional                       Help (help)                                                                                 Module  Enabled        6.33           
 Core - optional                       Locale (locale)                                                                             Module  Enabled        6.33           
 Core - optional                       Menu (menu)                                                                                 Module  Enabled        6.33           
 Core - optional                       OpenID (openid)                                                                             Module  Not installed  6.33           
 Core - optional                       Path (path)                                                                                 Module  Enabled        6.33           
 Core - optional                       PHP filter (php)                                                                            Module  Enabled        6.33           
 Core - optional                       Ping (ping)                                                                                 Module  Not installed  6.33           
 Core - optional                       Poll (poll)                                                                                 Module  Not installed  6.33           
 Core - optional                       Profile (profile)                                                                           Module  Not installed  6.33           
 Core - optional                       Search (search)                                                                             Module  Not installed  6.33           
 Core - optional                       Statistics (statistics)                                                                     Module  Not installed  6.33           
 Core - optional                       Syslog (syslog)                                                                             Module  Not installed  6.33           
 Core - optional                       Taxonomy (taxonomy)                                                                         Module  Enabled        6.33           
 Core - optional                       Throttle (throttle)                                                                         Module  Not installed  6.33           
 Core - optional                       Tracker (tracker)                                                                           Module  Not installed  6.33           
 Core - optional                       Trigger (trigger)                                                                           Module  Not installed  6.33           
 Core - optional                       Update status (update)                                                                      Module  Not installed  6.33           
 Core - optional                       Upload (upload)                                                                             Module  Not installed  6.33           
 Core - required                       Block (block)                                                                               Module  Enabled        6.33           
 Core - required                       Filter (filter)                                                                             Module  Enabled        6.33           
 Core - required                       Node (node)                                                                                 Module  Enabled        6.33           
 Core - required                       System (system)                                                                             Module  Enabled        6.33           
 Core - required                       User (user)                                                                                 Module  Enabled        6.33           
 Date/Time                             Date (date)                                                                                 Module  Enabled        6.x-2.10       
 Date/Time                             Date API (date_api)                                                                         Module  Enabled        6.x-2.10       
 Date/Time                             Date Locale (date_locale)                                                                   Module  Enabled        6.x-2.10       
 Date/Time                             Date PHP4 (date_php4)                                                                       Module  Enabled        6.x-2.10       
 Date/Time                             Date Popup (date_popup)                                                                     Module  Not installed  6.x-2.10       
 Date/Time                             Date Repeat API (date_repeat)                                                               Module  Not installed  6.x-2.10       
 Date/Time                             Date Timezone (date_timezone)                                                               Module  Enabled        6.x-2.10       
 Date/Time                             Date Tools (date_tools)                                                                     Module  Enabled        6.x-2.10       
 Development                           Devel (devel)                                                                               Module  Disabled       6.x-1.27       
 Development                           Devel generate (devel_generate)                                                             Module  Disabled       6.x-1.27       
 Development                           Devel node access (devel_node_access)                                                       Module  Disabled       6.x-1.27       
 Development                           Page Title Views SimpleTest (page_title_views_test)                                         Module  Not installed  6.x-2.7        
 Development                           SimpleTest (simpletest)                                                                     Module  Not installed  6.x-2.10       
 Image                                 Image (image)                                                                               Module  Enabled        6.x-1.2        
 Image                                 Image Attach (image_attach)                                                                 Module  Enabled        6.x-1.2        
 Image                                 Image Gallery (image_gallery)                                                               Module  Enabled        6.x-1.2        
 Image                                 Image Import (image_import)                                                                 Module  Disabled       6.x-1.2        
 Image                                 ImageMagick Advanced Options (image_im_advanced)                                            Module  Enabled        6.x-1.2        
 ImageCache                            ImageAPI (imageapi)                                                                         Module  Enabled        6.x-1.10       
 ImageCache                            ImageAPI GD2 (imageapi_gd)                                                                  Module  Enabled        6.x-1.10       
 ImageCache                            ImageAPI ImageMagick (imageapi_imagemagick)                                                 Module  Enabled        6.x-1.10       
 ImageCache                            ImageCache (imagecache)                                                                     Module  Enabled        6.x-2.0-rc1    
 ImageCache                            ImageCache UI (imagecache_ui)                                                               Module  Enabled        6.x-2.0-rc1    
 Import Export API                     Import Export API (importexportapi)                                                         Module  Not installed  6.x-1.x-dev    
 Import Export API                     Import Export UI (importexportui)                                                           Module  Not installed  6.x-1.x-dev    
 Meta tags                             Nodewords (nodewords)                                                                       Module  Enabled        6.x-1.14       
 Meta tags                             Nodewords basic meta tags (nodewords_basic)                                                 Module  Enabled        6.x-1.14       
 Meta tags                             Nodewords extra meta tags (nodewords_extra)                                                 Module  Enabled        6.x-1.14       
 Meta tags                             Nodewords Open Graph meta tags (nodewords_og)                                               Module  Not installed  6.x-1.14       
 Multilanguage                         Translation template extractor (potx)                                                       Module  Enabled        6.x-3.3        
 Node Gallery                          Node Gallery (node_gallery)                                                                 Module  Disabled       6.x-2.0-beta2  
 Node Gallery                          Node Gallery Lightbox2 Integration (node_gallery_lightbox2)                                 Module  Not installed  6.x-2.0-beta2  
 Panels                                Mini panels (panels_mini)                                                                   Module  Enabled        6.x-3.10       
 Panels                                Panel nodes (panels_node)                                                                   Module  Enabled        6.x-3.10       
 Panels                                Panels (panels)                                                                             Module  Enabled        6.x-3.10       
 Panels                                Panels everywhere (panels_everywhere)                                                       Module  Not installed  6.x-1.0        
 Panels                                Panels In-Place Editor (panels_ipe)                                                         Module  Not installed  6.x-3.10       
 Printer, e-mail and PDF versions      Customize send by e-mail (print_mail_custom)                                                Module  Enabled        6.x-1.10       
 Printer, email and PDF versions       PDF version (print_pdf)                                                                     Module  Not installed  6.x-1.19       
 Printer, email and PDF versions       Printer-friendly pages (print)                                                              Module  Enabled        6.x-1.19       
 Printer, email and PDF versions       Send by email (print_mail)                                                                  Module  Enabled        6.x-1.19       
 Publicreative                         Video XML Sitemap (video_sitemap)                                                           Module  Enabled                       
 SEO                                   Page Title (page_title)                                                                     Module  Enabled        6.x-2.7        
 Services                              Services (services)                                                                         Module  Enabled        6.x-2.4        
 Services - authentication             Key Authentication (services_keyauth)                                                       Module  Enabled        6.x-2.4        
