 Package                                         Name                                                                                       Type    Status         Version        
 Administration                                  Actions permissions (actions_permissions)                                                  Module  Not installed  6.x-1.14       
 Administration                                  Admin (admin)                                                                              Module  Not installed  6.x-2.0-beta3  
 Administration                                  Admin Role (adminrole)                                                                     Module  Not installed  6.x-1.3        
 Administration                                  Administration menu (admin_menu)                                                           Module  Enabled        6.x-1.8        
 Advanced CSS/JS Aggregation                     AdvAgg Bundler (advagg_bundler)                                                            Module  Disabled       6.x-1.9        
 Advanced CSS/JS Aggregation                     AdvAgg CDN Javascript (advagg_js_cdn)                                                      Module  Disabled       6.x-1.9        
 Advanced CSS/JS Aggregation                     AdvAgg Compress CSS (advagg_css_compress)                                                  Module  Disabled       6.x-1.9        
 Advanced CSS/JS Aggregation                     AdvAgg Compress Javascript (advagg_js_compress)                                            Module  Disabled       6.x-1.9        
 Advanced CSS/JS Aggregation                     Advanced CSS/JS Aggregation (advagg)                                                       Module  Disabled       6.x-1.9        
 Advanced CSS/JS Aggregation                     Parallel CSS ADVAGG (parallel_css)                                                         Module  Not installed  6.x-1.0        
 CCK                                             Colorpicker Widget (colorpicker_cck)                                                       Module  Enabled        6.x-2.1        
 CCK                                             Computed Field (computed_field)                                                            Module  Enabled        6.x-1.0        
 CCK                                             Content (content)                                                                          Module  Enabled        6.x-2.9        
 CCK                                             Content Copy (content_copy)                                                                Module  Enabled        6.x-2.9        
 CCK                                             Content Permissions (content_permissions)                                                  Module  Enabled        6.x-2.9        
 CCK                                             Fieldgroup (fieldgroup)                                                                    Module  Enabled        6.x-2.9        
 CCK                                             FileField (filefield)                                                                      Module  Enabled        6.x-3.11       
 CCK                                             FileField Meta (filefield_meta)                                                            Module  Not installed  6.x-3.11       
 CCK                                             Image crop (imagefield_crop)                                                               Module  Enabled        6.x-1.0        
 CCK                                             ImageField (imagefield)                                                                    Module  Enabled        6.x-3.11       
 CCK                                             Link (link)                                                                                Module  Enabled        6.x-2.10       
 CCK                                             Node Reference (nodereference)                                                             Module  Enabled        6.x-2.9        
 CCK                                             Number (number)                                                                            Module  Enabled        6.x-2.9        
 CCK                                             Option Widgets (optionwidgets)                                                             Module  Enabled        6.x-2.9        
 CCK                                             Ordered Set (ordered_set)                                                                  Module  Enabled        6.x-1.0-beta1  
 CCK                                             Text (text)                                                                                Module  Enabled        6.x-2.9        
 CCK                                             User Reference (userreference)                                                             Module  Enabled        6.x-2.9        
 Chaos tool suite                                Bulk Export (bulk_export)                                                                  Module  Not installed  6.x-1.10       
 Chaos tool suite                                Chaos tools (ctools)                                                                       Module  Enabled        6.x-1.10       
 Chaos tool suite                                Chaos Tools (CTools) AJAX Example (ctools_ajax_sample)                                     Module  Not installed  6.x-1.10       
 Chaos tool suite                                Chaos Tools (CTools) Plugin Example (ctools_plugin_example)                                Module  Not installed  6.x-1.10       
 Chaos tool suite                                Custom content panes (ctools_custom_content)                                               Module  Enabled        6.x-1.10       
 Chaos tool suite                                Custom rulesets (ctools_access_ruleset)                                                    Module  Not installed  6.x-1.10       
 Chaos tool suite                                Page manager (page_manager)                                                                Module  Enabled        6.x-1.10       
 Chaos tool suite                                Stylizer (stylizer)                                                                        Module  Enabled        6.x-1.10       
 Chaos tool suite                                Views content panes (views_content)                                                        Module  Enabled        6.x-1.10       
 Colorpicker                                     Colorpicker (colorpicker)                                                                  Module  Enabled        6.x-2.1        
 Colorpicker                                     Colorpicker Example (colorpicker_example)                                                  Module  Not installed  6.x-2.1        
 Content Profile                                 Content Profile (content_profile)                                                          Module  Disabled       6.x-1.0-beta2  
 Context                                         Context (context)                                                                          Module  Enabled        6.x-3.1        
 Context                                         Context layouts (context_layouts)                                                          Module  Not installed  6.x-3.1        
 Context                                         Context UI (context_ui)                                                                    Module  Enabled        6.x-3.1        
 Core - optional                                 Aggregator (aggregator)                                                                    Module  Not installed  6.33           
 Core - optional                                 Blog (blog)                                                                                Module  Not installed  6.33           
 Core - optional                                 Blog API (blogapi)                                                                         Module  Not installed  6.33           
 Core - optional                                 Book (book)                                                                                Module  Enabled        6.33           
 Core - optional                                 Color (color)                                                                              Module  Enabled        6.33           
 Core - optional                                 Comment (comment)                                                                          Module  Enabled        6.33           
 Core - optional                                 Contact (contact)                                                                          Module  Not installed  6.33           
 Core - optional                                 Content translation (translation)                                                          Module  Not installed  6.33           
 Core - optional                                 Database logging (dblog)                                                                   Module  Disabled       6.33           
 Core - optional                                 Forum (forum)                                                                              Module  Not installed  6.33           
 Core - optional                                 Help (help)                                                                                Module  Enabled        6.33           
 Core - optional                                 Locale (locale)                                                                            Module  Enabled        6.33           
 Core - optional                                 Menu (menu)                                                                                Module  Enabled        6.33           
 Core - optional                                 OpenID (openid)                                                                            Module  Not installed  6.33           
 Core - optional                                 Path (path)                                                                                Module  Enabled        6.33           
 Core - optional                                 PHP filter (php)                                                                           Module  Enabled        6.33           
 Core - optional                                 Ping (ping)                                                                                Module  Not installed  6.33           
 Core - optional                                 Poll (poll)                                                                                Module  Not installed  6.33           
 Core - optional                                 Profile (profile)                                                                          Module  Enabled        6.33           
 Core - optional                                 Search (search)                                                                            Module  Not installed  6.33           
 Core - optional                                 Statistics (statistics)                                                                    Module  Not installed  6.33           
 Core - optional                                 Syslog (syslog)                                                                            Module  Not installed  6.33           
 Core - optional                                 Taxonomy (taxonomy)                                                                        Module  Enabled        6.33           
 Core - optional                                 Throttle (throttle)                                                                        Module  Not installed  6.33           
 Core - optional                                 Tracker (tracker)                                                                          Module  Not installed  6.33           
 Core - optional                                 Trigger (trigger)                                                                          Module  Enabled        6.33           
 Core - optional                                 Update status (update)                                                                     Module  Disabled       6.33           
