 Package                              Name                                                                  Type    Status         Version             
 Administration                       Admin (admin)                                                         Module  Enabled        X.X-X.X 
 Caching                              Varnish (varnish)                                                     Module  Disabled       X.X-X.X       
 CCK                                  CCK (cck)                                                             Module  Not installed  X.X-X.X         
 CCK                                  Content Migrate (content_migrate)                                     Module  Not installed  X.X-X.X         
 Chaos tool suite                     Bulk Export (bulk_export)                                             Module  Not installed  X.X-X.X             
 Chaos tool suite                     Chaos tools (ctools)                                                  Module  Enabled        X.X-X.X             
 Chaos tool suite                     Chaos Tools (CTools) AJAX Example (ctools_ajax_sample)                Module  Not installed  X.X-X.X             
 Chaos tool suite                     Chaos Tools (CTools) Plugin Example (ctools_plugin_example)           Module  Not installed  X.X-X.X             
 Chaos tool suite                     Custom content panes (ctools_custom_content)                          Module  Not installed  X.X-X.X             
 Chaos tool suite                     Custom rulesets (ctools_access_ruleset)                               Module  Not installed  X.X-X.X             
 Chaos tool suite                     Page manager (page_manager)                                           Module  Not installed  X.X-X.X             
 Chaos tool suite                     Stylizer (stylizer)                                                   Module  Not installed  X.X-X.X             
 Chaos tool suite                     Term Depth access (term_depth)                                        Module  Not installed  X.X-X.X             
 Chaos tool suite                     Views content panes (views_content)                                   Module  Not installed  X.X-X.X             
 Context                              Context (context)                                                     Module  Not installed  X.X-X.X       
 Context                              Context layouts (context_layouts)                                     Module  Not installed  X.X-X.X       
 Context                              Context UI (context_ui)                                               Module  Not installed  X.X-X.X       
 Core                                 Aggregator (aggregator)                                               Module  Not installed  X.X                
 Core                                 Block (block)                                                         Module  Enabled        X.X                
 Core                                 Blog (blog)                                                           Module  Not installed  X.X                
 Core                                 Book (book)                                                           Module  Not installed  X.X                
 Core                                 Color (color)                                                         Module  Enabled        X.X                
 Core                                 Comment (comment)                                                     Module  Enabled        X.X                
 Core                                 Contact (contact)                                                     Module  Not installed  X.X                
 Core                                 Content translation (translation)                                     Module  Not installed  X.X                
 Core                                 Contextual links (contextual)                                         Module  Not installed  X.X                
 Core                                 Dashboard (dashboard)                                                 Module  Enabled        X.X                
 Core                                 Database logging (dblog)                                              Module  Enabled        X.X                
 Core                                 Field (field)                                                         Module  Enabled        X.X                
 Core                                 Field SQL storage (field_sql_storage)                                 Module  Enabled        X.X                
 Core                                 Field UI (field_ui)                                                   Module  Enabled        X.X                
 Core                                 File (file)                                                           Module  Enabled        X.X                
 Core                                 Filter (filter)                                                       Module  Enabled        X.X                
 Core                                 Forum (forum)                                                         Module  Not installed  X.X                
 Core                                 Help (help)                                                           Module  Not installed  X.X                
 Core                                 Image (image)                                                         Module  Enabled        X.X                
 Core                                 List (list)                                                           Module  Enabled        X.X                
 Core                                 Locale (locale)                                                       Module  Not installed  X.X                
 Core                                 Menu (menu)                                                           Module  Enabled        X.X                
